Israeli Cyber Ecosystem — Deal Database | Lama Partners | Jun 2026 | 331 companies | 485 deal rows | Sources: PitchBook + Startup Nation Finder + Web Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY INFO — repeats on every deal row,,,,,,,,,,,,,,,,,,DEAL INFO — changes per row,,,,,META,
Company Name,Website,PitchBook URL,Founding Year,Employees,Description (1 line),HQ City / Region,HQ Country,Sector Tag,Founders,Military Unit,Last Role Before Founding,Founder LinkedIn (to fill),Angels Involved,Customers (public),Total Raised ($M),Post-Money Valuation ($M),Acquired?,Acquirer,Exit Size ($M),Round Type,Round Date,Round Size ($M),Lead Investor,Co-Investors,Round Valuation ($M),Source,Notes
Capsule,capsule.security,,2024,,Runtime security for AI agents — guardrails enabling safe agentic adoption at enterprise scale,Tel Aviv,Israel,AI Security,Naor Paz,Unknown,Naor Paz: Director of Product & GTM at Firefly,Naor Paz: https://www.linkedin.com/in/naorpaz/,,,7.0,,No,,,,,,,,,Lama Internal,Lama portfolio. Infrastructure layer for safe agent adoption.
Jit,jit.io,,2021,,DevSecOps automation — continuous security for engineering teams replacing AppSec engineer labor,Tel Aviv,Israel,Application Security,"David Melamed, Alona Dotan, Alona Mayzel",Unknown,"David Melamed: Sr. Tech Lead, Cloud Security CTO Office at Cisco",David Melamed: https://www.linkedin.com/in/mlmd/,,"Agoda, enterprise",38.5,,Yes,Torq,Undisclosed,,,,,,,Lama Internal,Lama portfolio. Acquired by Torq. First proof of Outcomes Playbook thesis.
Orion Security,orion.security,,2025,,AI-native data loss prevention — DLP rebuilt for AI workflows and agentic data pipelines,Tel Aviv,Israel,Data Security,Nitay Milner,Unknown,Nitay Milner: Product Leader - Cloud Observability at Cisco,Nitay Milner: https://www.linkedin.com/in/nitay-milner/,,,,,No,,,Seed,Mar 2025,6.00,PICO Venture Partners,"Lama Partners, Underscore VC",,Lama Internal,"Lama portfolio. Feb 2026 investment. Co-investors: Alumni Ventures, IBM Ventures."
Orion Security,orion.security,,2025,,AI-native data loss prevention — DLP rebuilt for AI workflows and agentic data pipelines,Tel Aviv,Israel,Data Security,Nitay Milner,Unknown,Nitay Milner: Product Leader - Cloud Observability at Cisco,Nitay Milner: https://www.linkedin.com/in/nitay-milner/,,,,,No,,,Early Stage VC,Feb 2026,32.00,Norwest,"Alumni Ventures, IBM Ventures, Independent Baptist Media, Lama Partners, PICO Venture Partners, XT Venture Capital",,Lama Internal,"Lama portfolio. Feb 2026 investment. Co-investors: Alumni Ventures, IBM Ventures."
Root,root.security,,2024,,Autonomous supply chain remediation — AI agents replace dev/sec engineers patching CVEs at scale,Tel Aviv,Israel,Supply Chain Security,Ian Riopel,Unknown,Ian Riopel: Chief Customer Officer at Slim.AI,Ian Riopel: https://www.linkedin.com/in/ianriopel/,,,,,No,,,,,,,,,Lama Internal,Lama portfolio. Autonomous CVE patching at enterprise scale.
Terra,terra.security,,2024,,"Agentic penetration testing — AI-native continuous pentesting delivering security outcomes, not consultant hours",Tel Aviv,Israel,Security Operations,Shahar Peled,Unknown,Shahar Peled: VP GTM at Jit.io,Shahar Peled: https://www.linkedin.com/in/speled/,,Fortune 500 enterprise (undisclosed),38.0,,No,,,,,,,,,Lama Internal,Lama portfolio. CEO Shahar Peled from Jit via Lama network.
1touch.io,1touch.io,,2017,51-200,Data Aware Security,Tel Aviv,Israel,Security Operations,,Unknown,,,,,28.0,,Yes,,,,,28.0,,,,Startup Nation Finder,Stage: Acquired. Business Model: B2B.
7AI,7ai.com,,2023,51-200,Agentic Security Platform,Tel Aviv,Israel,Security Operations,,Unknown,,,,,,,No,,,Series A,,,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
A Security,www.a.security,https://my.pitchbook.com/profile/1158163-66/company/profile,2025,,Cybersecurity platform for enterprise security operations,"26 Kaplan Street, Tel Aviv 6473427, Israel",Israel,Security Operations,Yossi Torati,Unknown,Yossi Torati: Director of Enterprise Security at Sygnia,Yossi Torati: https://www.linkedin.com/in/yossi-torati/,,,37.00,,No,,,Early Stage VC,Jul 2025,32.10,,,154.00,PitchBook (cyber_deals export),Primary Industry: Network Management Software
ARMO,armosec.io,,2018,51-200,Open-source Kubernetes Security Platform,Tel Aviv,Israel,Cloud Security,,Unknown,,,,,31.5,,No,,,Series A,,31.5,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
